ano,indigena,branca,amarela,preta,nao_declarada,parda,ppi
2009,30,17676,88,1454,9707,3067,4551
2010,15,18547,71,1475,8080,3164,4654
2011,15,19932,86,1625,7728,3467,5107
2012,22,20791,84,1786,6606,3895,5703
2013,20,20137,75,1857,6274,3969,5846
2014,22,21265,85,2117,6205,4464,6603
2015,21,21350,91,2069,5256,4513,6603
2016,25,21630,89,2149,5096,4715,6889
2017,21,21538,92,2078,4727,4438,6537
2018,19,21366,94,2001,4731,4544,6564
2019,19,21709,109,2043,4593,4584,6646
2020,21,20788,122,1940,4608,4405,6366
